title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Golang разработчик Junior+/Middle,400000 - 900000 KZT,Алматы,Denser Technologies,19-07-2024,Не менее года backend разработки.,"Разработка backend - crm, api, backoffice. Базы данных и языки запросов (Postgres, Mongо). Работа на продуктом который решает проблему и несет...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/104232917
Junior backend разработчик Golang,,Алматы,Микрофинансовая организация KMF(КМФ),18-07-2024,"Опыт разработки на GoLang и знание его особенностей. Знание фреймворка Fiber. Опыт работы с системами контроля версий, включая GitLab. ",Разработка сервисов на GoLang: Создание и поддержка высокопроизводительных и масштабируемых сервисов с использованием языка Go и фреймворка Fiber. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/104171719
Golang-разработчик,,Астана,Butterfly Effect,22-07-2024,Опыт разработки на Golang от 3-ех года. Знание паттернов проектирования современного ПО. Хорошие знания SQL/NoSQL. Умение писать тесты. ,"Участие в обсуждении процессов разработки, освоение новых технологий. Участие в разработке высоконагруженных проектов, работа в команде. Разработка back-end приложений...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/104344383
Senior Golang разработчик,,Алматы,Частная компания Citix Ltd.,16-07-2024,"Опыт разработки на Golang от 3х лет. Знание и понимание микросервисной архитектуры, написание сервисов для высоконагруженных систем. ","Разработка сервисов для продуктов в сфере сферах AdTech и Smart City. Участие в исследованиях, проверках гипотез и планировании архитектуры.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/103965453
Senior Golang разработчик,1000000 - 2000000 KZT,Алматы,OneVision,28-06-2024,"Git. Golang. Postgres. Clickhouse. Redis. Docker, Docker-compose. Kafka. Kubernetes.",Разрабатывать информационные системы с нуля. Исправлять баги. Разрабатывать новый функционал. Код ревью. Обмениваться опытом с командой. Написание dockerfile для образов...,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/96382415
Junior Golang Developer,,Алматы,Andersen,09-07-2024,"Must haves: Experience in commercial, team development on Go for at least 4 months. Level of English - from Intermediate and...","Office visitation is mandatory. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/103590359
Golang разработчик,,Алматы,Freedom Technologies,21-07-2024,Опыт разработки на Go не менее 3 лет. Опыт разработки микросервисных приложений на Go. Понимание сетевых протоколов. Знания REST API...,Создание программных решений. Управление разработкой программного обеспечения полного жизненного цикла. Технический анализ и тестирование. Участие в разработке сложного решения в...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102844236
Golang Developer/Middle Go,,Алматы,Концепт-Технологии,08-07-2024,"Опыт работы с требованиями: документирование, процесс управления, декомпозиция, тестирование. Знание гибких методологий Agile: Scrum, Kanban. Знание стадий жизненного цикла ПО. ",Писать чистый код на Golang. Поддерживать и развивать существующую кодовую базу. Предлагать различные технические решения. Проектировать API. Проводить Ревью кода. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/103523827
Golang Разработчик,,Алматы,Народный банк Казахстана,02-07-2024,Опыт работы в качестве backend разработчика от 3х лет. Опыт работы с языком программирования Go от 2 лет. ,,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/102584977
Team Lead (Golang),1000000 - 2000000 KZT,Алматы,OneVision,28-06-2024,"Имеете глубокое понимание Go, включая структуры данных, многопоточность и сборку мусора. Имеете опыт работы с базовыми принципами ООП и SOLID. ",Эффективное управление командой разработчиков на Go. Построение и оптимизация процессов в команде. Разработка информационных систем с нуля. Проектирование и реализация...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/96989286
Golang разработчик Middle,,Астана,Mechta.kz TM ( ТОО Мечта Маркет ),10-07-2024,"Хорошее знание Golang. Опыт не менее 2 лет. Умение писать тесты (юнит, интеграционные). Умение писать/настроить swagger документацию на API. ","Разработка сервисов. Доработка существующих проектов. Принятие участия в формировании идей, обсуждения их реализации. Изучение новых технологий, возможности их использования в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83542347
Golang Developer/Middle Go,,Астана,Концепт-Технологии,08-07-2024,"Опыт работы с требованиями: документирование, процесс управления, декомпозиция, тестирование. Знание гибких методологий Agile: Scrum, Kanban. Знание стадий жизненного цикла ПО. ",Писать чистый код на Golang. Поддерживать и развивать существующую кодовую базу. Предлагать различные технические решения. Проектировать API. Проводить Ревью кода. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/103523826
Middle Golang разработчик,,Алматы,Tarlan Payments (Тарлан Пэйментс),21-07-2024,"Желательно наличие высшего образования по одной из специальностей: информационные технологии, компьютерные науки, программирование, или смежные области. Также приветствуются сертификаты по...","Работать в команде разработчиков, участвовать в планировании, в ревью кода, обмене опытом и знаниями. Осуществлять разработку/доработку программного обеспечения, включая...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/103576121
Golang TeamLead,,Алматы,BTS Digital,28-06-2024,"Опыт работы на Golang от 3 лет. Опыт разработки микросервисов на Go. Умение работы с Docker, Git, Gitlab CI. ",,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102915205
