title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Личный водитель,,Астана,BUSINESS SOLUTIONS «GARANT» LIMITED,31-05-2024,"Водительское удостоверение категории В. Отличное знание города. Стрессоустойчивость, вежливость. Стаж работы водителем у руководства более 3 лет.","Обеспечение безопасного, комфортного и профессионального вождения Руководителя. Выполнение поручений руководства, личных поручений. Содержание автомобиля в чистом и в технически исправном...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100778888
Водитель персональный,200000 - 250000 KZT,Уральск,ЗАМАЛЮТДИНОВ Р.Ю.,05-06-2024,"Если Вы пунктуальный, вежливый, трудолюбивый и ответственный.",Обслуживание торжественных мероприятий. Наводить порядок в боксе и машинах. Обслуживание.,"{'id': 'flexible', 'name': 'Гибкий график'}",Более 6 лет,Частичная занятость,https://hh.ru/vacancy/101297863
Водитель,250000 - 300000 KZT,Астана,Айртас,30-05-2024,Ответственность.,,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100677504
Личный водитель,250000 - 300000 KZT,Караганда,ЛАЗУРИТ8,30-05-2024,Стрессоустойчивость. Опрятность. Мобильность.,"Выполнять поручения, касаемые перевозки руководителя и членов его семьи. Содержать в чистоте и своевременно заправлять автомобиль руководителя.","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100717933
"Требуются водители, категорий прав ВС",400000 - 600000 KZT,Астана,Шин-Лайн,05-06-2024,"Обязательно иметь банковскую карту: (Halyk Bank или Kaspi Bank, ForteBank).","Управление автомобилем. Своевременное прибытие на рабочее место и подача автомобиля к подъезду организации, а также постановка автомобиля в гараж после...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101322637
Персональный водитель руководителя,300000 - 350000 KZT,Алматы,Гулденустрой,05-06-2024,Готовность к выполнению дополнительных поручений работодателя. Требования: Опыт вождения автомобилей премиум класса не менее 5 лет. Отличное знание дорожного движения...,"Обеспечение безопасности и комфорта пассажиров во время поездок. Поддержание чистоты и порядка в автомобиле. Осуществление технического обслуживания автомобиля, включая заправку...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101348644
Водитель,450000 - 800000 KZT,Павлодар,ГЕЛИОН МВ,31-05-2024,"Водитель на евро фуру, DAF105. Опыт работы. На Европу. Карта водителя, удостоверение КазАто. Требования: Опыт работы в международных перевозках...",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100784302
Водитель Генерального директора,,Астана,Eurasia Group Kazakhstan,05-06-2024,"Наличие водительских прав, стаж вождения. Стрессоустойчивость. Ответственность.","Корректное профессиональное вождение автомобиля. Следить за техническим состоянием автомобиля, чистотой.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101316715
"Водитель категории В ,С",270000 - 270000 KZT,Алматы,NURMAX-K,05-06-2024,"Пунктуальность. Водительские права категории В,С (обязательно!). Своевременность. Ответственность. Аккуратность при вождении, внимательность.","Получать в подразделениях компании задания по доставке товара. Выполнять поручения в указанные сроки, докладывать о выполнении либо о причинах, препятствующих...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101346678
Персональный Водитель,,Алматы,Altyn Bank,04-06-2024,Опыт вождения не менее 5ти лет. Опыт работы у первых руководителей компаний. Знание города. Опыт вождения автотранспорта представительского класса. ,Безопасное управление автотранспортом. Знание и соблюдение ППД. Поддержание чистоты автомобиля. Контроль за исправностью автомобиля и своевременного обслуживания. Своевременная подача автомобиля. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101224678
Семейный водитель,,Астана,Батыр,20-05-2024,"Водительские права категории В, личный автомобиль.","Встреча, проводы аэропорт. Развозка детей. Выполнения поручении руководства.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98672060
Водитель (с личным автомобилем),300000 - 400000 KZT,Астана,Абсолют,03-06-2024,"В рекламно-производственную компанию с опытом работы 20 лет, требуется водитель с личным легковым авто. Требования: Высокие коммуникативные навыки. ",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101063759
Водитель со своим автомобилем,300000 - 600000 KZT,Павлодар,BARYS COMPANY,30-05-2024,,В компанию на постоянную работу требуются водители с собственным авто. График работы 5/2 Выезды в нерабочее время и выходные...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/100724195
Личный водитель / помощник первого руководителя,,Алматы,"ГОЛД ПРОДУКТ, АО",05-06-2024,Не использовать авто в личных целях. Опыт работы личным водителем не менее 3-ех лет. Знание и соблюдение правил дорожного...,Подача автомобиля в назначенное время и место. Обеспечение безопасного передвижения. Прохождение тех. обслуживания и осмотров. Поддержание автомобиля в исправном и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101340649
