title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Инженер-геодезист,500000 - 500000 KZT,Астана,РГП на ПХВ Национальный центр качества дорожных активов Министерства индустрии и инфраструктурного развития РК,23-08-2023,Высшее техническое образование геодезиста. Не менее 2 лет стажа работы по в качестве геодезиста.,"Выполняет геодезические работы , обеспечивающие точный перенос в натуру строительных объектов, проводит инструментальную съемку, расчеты , связанные с составлением планов, карт местности. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/85613225
Геодезист / CAD оператор,400000 - 600000 KZT,Атырау,КаспГео,24-08-2023,"Геодезист должен уверенно работать на современных геодезических приборах, таких как электронные тахометры, спутниковые системы навигации, электронные нивелиры и др. ","Создание геодезические отчеты, топо карты различных масштабах и др. Топогеодезическая работа.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85704206
Геодезист (с. Долан),,Алматы,BI GLOBAL,24-08-2023,"Высшее профильное образование (строительное, геодезическое). Навыки работы с современным геодезическим оборудованием. Знание программы AUTOCAD. Знание состава требований к оформлению документации...","Выполнение работ по геодезическому обеспечению строительства. Топографическая и исполнительная съемка. Вынос строительных осей, высотных отметок. Измерение осадки фундаментов зданий и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/85711067
Геодезист,,Алматы,Engineering Services,23-08-2023,"Высшее профессиональное техническое образование (кадастр, геодезия и картография, картография и геоинформатика, землеустройство, аэрофотограмметрия, дистанционное зондирование). Опыт работы не менее 2...","Осуществлять комплекс геодезических работ при решении различных инженерно-технических задач, в том числе по привязке существующих и переносу в натуру...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/85612621
Геодезист/маркшейдер,450000 KZT,Шымкент,TOLAGAI-2050,24-08-2023,Высшее техническое образование «Геодезия и картография». - Навык чтения проектно-техническую документацию с целью определения требуемой точности и последовательности выполнения геодезических...,"Выполнение работ по геодезическому обеспечению строительства. - Топографическая и исполнительная съемка. - Вынос строительных осей, высотных отметок. - Геодезическое сопровождение объектов. - ",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/85703445
Инженер-геодезист,,Актау,Caspian Coast,24-08-2023,Высшее образование. Опыт работы от 6лет.,Полный геодезический контроль за всем процессом строительства. Предоставление схем. Персональная ответственность. Своевременное и качественное выполнение комплекса геодезических работ. ,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/85677732
Геодезист,350000 KZT,Алматы,КОДЕКС,22-08-2023,Работа в автокаде. Диплом.,Выполнение геодезической съемки. Выдача высотных отметок. Составление исполнительной документации.,,От 1 года до 3 лет,Проектная работа,https://hh.ru/vacancy/85549099
Геодезист,,Астана,Akerman Company,28-08-2023,"Высшее или средне-специальное образование (маркшейдерское дело). Опыт работы по специальности более 1-го года. Уверенный пользователь ПК: Office, Autocad...","Съёмка горных выработок. Выполнение замеров горных работ. Камеральная обработка материалов, подсчет объёмов выполненных работ по добычи ПИ и вскрышных работ...",,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/85298942
Геодезист,500000 - 600000 KZT,Алматы,КомплектСтройДеталь,14-08-2023,Различные методы съемок местности. Принципы работы и наладки геодезических приборов. Программные пакеты AutoCAD и т.д.,"Проведение исполнительных геодезических съемок, осуществление разбивочных и камерных работ определенной местности и обрабатывает их.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85008559
Инженер-геодезист,350000 - 450000 KZT,Алматы,Temir-Stroi Group,18-08-2023,,"Исполнение комплекса геодезических работ с выполнением поставленных требований: точность проводимых измерений, соответствие разработанному проекту и т. д. выполнение разбивочных работ...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85281903
