title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по продажам,250000 - 800000 KZT,Алматы,ИНСАЙТ-М,31-07-2023,"Грамотная устная и письменная речь, презентабельный внешний вид. Нацеленность на результат. Ответственность‚ дисциплина, коммуникабельность.","Работа с готовыми заявками (телефонный разговор, регистрация в программе). Исполнение заказов по четкому алгоритму. Работа с постоянными клиентами. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84250299
Менеджер по персоналу,250000 KZT,Атырау,Аджип,09-08-2023,"Высшее образование. Знание трудового кодекса РК. Готовность постоянно повышать навыки и знания. Уверенное знание офисного ПО (MS Word, MS Excel...",Подбор сотрудников. Адаптация новичков. Развитие и обучение работников. Мотивация персонала. Кадровое делопроизводство. Компенсации и льготы. Контроль автоматизированного учета рабочего времени.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/84792771
Менеджер по продажам горящих путевок в детский лагерь,250000 - 600000 KZT,Алматы,Ngup,17-07-2023,"Быть отзывчивым, добрым, уметь расположить к себе собеседника и самое главное желание совершенствоваться и не стоять на месте будет вашим...",Консультирование клиентов по горящим путевкам детского лагеря NGUP. Приглашение на встречу клиентов. Подготовка и подписания типового договора с клиентом.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83529568
Менеджер по продажам,150000 - 750000 KZT,Алматы,Токенова,24-07-2023,,,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83946145
Менеджер - оформитель документов,350000 - 350000 KZT,Астана,ASTANA MOTOR ASTANA (Тойота Центр Астана Моторс),11-08-2023,"Высшее образование. Опыт работы на аналогичной или схожей должности от 1 года. Внимательность, аккуратность, коммуникабельность. Опытный пользователь ПК, MS Office. ","Оформление продаж автомобилей физическим и юридическим лицам. Оформление пакета документов для регистрации автомобиля в дорожной полиции. Оформление поставки автомобиля, формирование...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84939470
Менеджер по работе с клиентами,300000 - 1500000 KZT,Алматы,Huaizhong Logistics,31-07-2023,Навыки ведения переговоров и опыт личных продаж. Сильные лидерские и коммуникативные качества. Заинтересованность в результатах деятельности своей компании. ,"Полная и грамотная консультация Клиента по услугам. Общаться с крупными клиентами, поддерживать с ними связь. Своевременное и полное внесение данных...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84257128
Менеджер по работе с клиентами,200000 KZT,Астана,MaxxFine,22-07-2023,Ответственность. Коммуникабельность. Работа в команде. Многозадачность.,Просчитывать проекты. Курирование работы всего офиса. Встречать посетителей. Документация. Презентация товара премиум класса. Грамотная устная и письменная речь.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83833631
Менеджер по продажам в салоны премиальной мебели,500000 - 1000000 KZT,Алматы,БиЗАМ - MONO Concept,13-07-2023,"Консультировать покупателей, быстро отвечать на их вопросы и подбирать подходящий товар. Интерес к продукции магазина, знание ассортимента, тенденций и новинок...","Работа в торговом зале Мебельного салона (Турецкая мебель). Консультировать потенциальных покупателей, разъясняя особенности той или иной модели мебельной номенклатуры. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82890488
Менеджер Службы Заботы о Партнерах,200000 KZT,Алматы,Kaspi.kz,23-07-2023,Оконченное средне-специальное образование/высшее. Готовность к ведению телефонных переговоров. Желание и умение помогать. Доброжелательность и приветливость. Знание русского и...,Консультировать Партнеров Kaspi.kz по телефону. Обучение потенциальных и действующих Партнеров продуктам и сервисам Kaspi.kz. Регистрация и предоставление Обратной связи Партнеру.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/78756129
Business Development Manager (Supervisor),900000 KZT,Усть-Каменогорск,KT&G GLOBAL KAZAKHSTAN (КЕЙ-ТИ-ЭНД-ДЖИ ГЛОБАЛ КАЗАХСТАН),10-08-2023,Высшее образование. Опыт работы в области сбыта и маркетинга – не менее 2-х лет. Опыт работы на руководящей должности от...,Развивать и поддерживать всесторонние знания о территории продаж. Обеспечить достижение целей по ключевым показателям сбыта. Прогнозировать продажи по маркам и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84885296
