title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Юрист в единственном числе,,Алматы,MultiBRAND COMPANY (Avatariya),15-06-2024,У вас высшее профильное образование. Успешная судебная практика. Опыт взаимодействия и ведения переговоров. Знаете основополагающие теории права. Умеете находить правовое...,"Разработка и полная юридическая экспертиза договоров / дополнительных соглашений на риски, согласование и ведение сделок. Работа с государственными сайтами и порталами. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101993883
Юрист в единственном числе,,Астана,ВОСКАНЯН Г.А.,13-06-2024,"Высшее юридическое образование. Опыт работы на аналогичной должности не менее 6 лет, в том числе в ИТ компании не менее...",Полная юридическая поддержка деятельности группы компании. Обеспечение соответствия деятельности компании нормам законодательства и внутренним стандартам ведения бизнеса. Консультирование по всем...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101824573
Юрист,,Алматы,ИНЖИНИРИНГОВАЯ КОМПАНИЯ КАЗГИПРОНЕФТЕТРАНС,18-06-2024,"Опыт работы юристом более 3 лет. Высшее юридическое образование. Знание области корпоративного управления. Знание языков: русский (свободно), казахский (средний), английский...","Подготовка, правовая экспертиза проектов пояснительных записок, проектов решений/протоколов уполномоченных органов, проектов внутренних нормативных документов, изменений к учредительным документам. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102156087
Юрисконсульт,400000 - 400000 KZT,Алматы,"КазНИИСА, АО",18-06-2024,"Высшее юридическое образование. Знание русского, казахского языков. Опыт работы не менее 5 лет в акционерном обществе или в квазигосударственном секторе...","1. вести договорную работу в Обществе, разрабатывать проекты договоров, проверять соответствие законодательству проектов договоров, представляемых Обществу контрагентами. 2. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102185190
Юрист,600000 KZT,Алматы,KazTranshin (МКА Инжиниринг),13-06-2024,,"Составление договоров, деловая переписка, претензионная работа, составление исков, юридическое сопровождение, взаимодействие с разрешительными органами.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101856853
Юрист,,Алматы,ТехноGRAD,17-06-2024,"Высшее юридическое образование. Опыт работы не менее 6 лет. Знание казахского и русского языка. Стрессоустойчивость, умение решать проблемы, ориентированность на...","Полное юридическое сопровождение группы компаний. Составление и контроль за исполнением договоров. Представительство в судах и иных организациях. Регистрация, перерегистрация и...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102110080
Юрист,,Алматы,K&K GmbH,18-06-2024,"Высшее юридическое образование. Опыт работы от 1 года до 3-х лет. Грамотная устная и письменная речь. Ответственность, исполнительность.","Юридическое сопровождение рабочих процессов группы компаний разных сфер. Деятельности; регистрация, перерегистрация ТОО, подготовка учредительных документов. Подготовка и юридическая экспертиза договоров. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/102161283
Ведущий юрисконсульт,600000 - 650000 KZT,Алматы,Консолидированная Строительная Горнорудная Компания,17-06-2024,"Юридическое образование. Желательно опыт работы и дополнительное образование в сфере металлургии и недропользования. Знание программных обеспечений (MS Office, электронный СПС...",Обеспечение юридического сопровождения деятельности компании. Обеспечивает соблюдение законности в деятельности предприятия и защиту его правовых интересов. Осуществляет разработку учредительных документов...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102057651
Юрист,700000 KZT,Алматы,Almaty Ozeni,29-05-2024,"Желательные дополнительные навыки: Пользование правовыми системами, опыт судебной практики приветствуется. Требования: Высшее юридическое образование. Хорошее знание гражданского законодательства. (",Правовой анализ проектов договоров с контрагентами на соответствие нормативно-правовому регулированию РК в различных областях; подготовка протоколов по разрешению разногласий...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100627198
Юрист,,Алматы,Сименс Здравоохранение,11-06-2024,Высшее юридическое образование с опытом работы не менее 5 лет. Знания английского языка на уровне С1.,"Осуществляет контроль за соответствием требованиям законодательства проектов уставов, внутренних документов, приказов, распоряжений, инструкций, договоров и других документов правового характера, подготавливаемых...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101693070
Требуется юрист,420000 - 450000 KZT,Астана,Астана Тазалык,12-06-2024,Высшее профессиональное (юридическое) образование и стаж работы по специальности не менее 5 лет.,Обеспечивает соблюдение законности в деятельности Товарищества и защиту его правовых интересов. Осуществляет методическое руководства правовой работы в Товариществе и оказывает...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101773927
Юрист,350000 - 400000 KZT,Актобе,Clean City NC,17-06-2024,Высшее юридическое образование. Стаж работы не более 3-х лет.,"Услуги по подготовке досудебной документации, формирование исковых заявлений. Представительство в суде по вопросам взыскания дебиторской задолженности, направление заявлений на совершение...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/102059570
